Title,Year,genres,Language,Country,Content Rating,Duration,Aspect Ratio,Budget,Gross Earnings,Director,Actor 1,Actor 2,Actor 3,User Votes,Reviews by Users,Reviews by Crtiics,IMDB Score
Space Dogs,2010,Adventure|Animation|Comedy|Family,Russian,Russia,G,85,,25000000,,Inna Evlannikova,Sergey Garmash,Evgeniy Mironov,Aleksandr Bashirov,891,8,16,5.2
Stake Land,2010,Drama|Horror|Sci-Fi,English,USA,R,98,2.35,650000,18469,Jim Mickle,Connor Paolo,Michael Cerveris,Nick Damici,34263,141,215,6.5
Standing Ovation,2010,Musical,English,USA,PG,105,,,531806,Stewart Raffill,Kayla Jackson,Alexis Biesiada,Kayla Raparelli,548,6,9,3.4
Step Up 3D,2010,Drama|Music|Romance,English,USA,PG-13,107,1.85,30000000,42385520,Jon M. Chu,Alyson Stoner,Stephen Boss,Facundo Lombard,47297,86,138,6.2
Stone,2010,Drama|Thriller,English,USA,R,105,2.35,22000000,1796024,John Curran,Robert De Niro,Milla Jovovich,Frances Conroy,34985,135,138,5.4
Submarine,2010,Comedy|Drama|Romance,English,UK,R,97,1.85,,466702,Richard Ayoade,Craig Roberts,Paddy Considine,Sally Hawkins,65877,100,249,7.3
Super Hybrid,2010,Horror|Sci-Fi|Thriller,English,USA,PG-13,94,2.35,13000000,,Eric Valette,Melanie Papalia,Ryan Kennedy,John Reardon,1328,22,42,3.9
Super,2010,Comedy|Crime|Drama,English,USA,R,96,1.85,2500000,322157,James Gunn,Linda Cardellini,Rainn Wilson,Paul T. Taylor,61787,203,238,6.8
Takers,2010,Action|Crime|Thriller,English,USA,PG-13,107,2.35,20000000,57744720,John Luessenhop,Paul Walker,Hayden Christensen,Jay Hernandez,46961,132,119,6.2
Tangled,2010,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,English,USA,PG,100,1.85,260000000,200807262,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,294810,387,324,7.8
The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,2010,Comedy,English,USA,R,82,1.85,1300000,,Craig Moss,Noureen DeWulf,Bryan Callen,Matt Crabtree,5579,42,16,2.7
The 5th Quarter,2010,Biography|Drama|Sport,English,USA,PG,90,1.85,6000000,399611,Rick Bieber,Aidan Quinn,Kendrick Cross,Sammy Nagi Njuguna,1245,29,16,5.7
The American,2010,Crime|Drama|Thriller,English,USA,R,105,2.35,20000000,35596227,Anton Corbijn,Violante Placido,Thekla Reuten,Filippo Timi,79461,463,333,6.3
The Back-up Plan,2010,Comedy|Romance,English,USA,PG-13,104,2.35,35000000,37481242,Alan Poul,Danneel Ackles,Noureen DeWulf,Tom Bosley,40654,97,148,5.3
The Book of Eli,2010,Action|Adventure|Drama|Thriller,English,USA,R,118,2.35,80000000,94822707,Albert Hughes,Denzel Washington,Mila Kunis,Gary Oldman,227072,560,325,6.9
The Bounty Hunter,2010,Action|Comedy|Romance,English,USA,PG-13,110,2.35,40000000,67061228,Andy Tennant,Gerard Butler,Dorian Missick,Peter Greene,96565,135,161,5.5
The Christmas Bunny,2010,Drama|Family,English,USA,PG,98,,250000,,Tom Seidman,Florence Henderson,Derek Brandon,Charles Irving Beale,450,10,4,6.2
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,Adventure|Family|Fantasy,English,USA,PG,113,1.78,155000000,104383624,Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,106446,227,228,6.3
The Conspirator,2010,Crime|Drama|History,English,USA,PG-13,122,2.35,25000000,11538204,Robert Redford,Robin Wright,Tom Wilkinson,Stephen Root,23696,135,199,7
The Crazies,2010,Horror|Thriller,English,USA,R,101,2.35,20000000,39103378,Breck Eisner,Radha Mitchell,Glenn Morshower,John Aylward,93272,251,308,6.5
The Dead Undead,2010,Action|Horror|Sci-Fi,English,USA,R,89,1.85,1100000,,Matthew R. Anderson,Johnny Pacar,Vernon Wells,Matthew R. Anderson,737,15,17,3
The Debt,2010,Drama|Thriller,English,USA,R,113,2.35,20000000,31146570,John Madden,Tom Wilkinson,Jesper Christensen,Romi Aboulafia,55441,165,258,6.9
The Expendables,2010,Action|Adventure|Thriller,English,USA,R,113,2.35,80000000,102981571,Sylvester Stallone,Jason Statham,Sylvester Stallone,Jet Li,270226,741,424,6.5
The Extra Man,2010,Comedy,English,USA,R,108,2.35,7000000,453079,Shari Springer Berman,Lynn Cohen,Marian Seldes,Dan Hedaya,4124,29,104,5.9
The Fighter,2010,Biography|Drama|Sport,English,USA,R,116,2.35,25000000,93571803,David O. Russell,Christian Bale,Jack McGee,Melissa McMeekin,275869,389,410,7.9
The Ghost Writer,2010,Mystery|Thriller,English,France,PG-13,128,2.35,45000000,15523168,Roman Polanski,Jim Belushi,Olivia Williams,Timothy Hutton,132423,349,343,7.2
The Grace Card,2010,Drama,English,USA,PG-13,101,,200000,2428241,David G. Evans,Michael Joiner,Chris Thomas,Michael Higgenbottom,2099,26,25,6.4
The Kids Are All Right,2010,Comedy|Drama,English,USA,R,106,1.85,3500000,20803237,Lisa Cholodenko,Josh Hutcherson,Mia Wasikowska,Yaya DaCosta,110616,291,323,7.1
The Killer Inside Me,2010,Crime|Drama|Thriller,English,USA,R,109,2.35,13000000,214966,Michael Winterbottom,Liam Aiken,Ned Beatty,Jay R. Ferguson,28483,176,225,6.1
The King's Speech,2010,Biography|Drama|History|Romance,English,UK,R,118,1.85,15000000,138795342,Tom Hooper,Colin Firth,Jennifer Ehle,Derek Jacobi,503631,636,479,8
The Last Airbender,2010,Action|Adventure|Family|Fantasy,English,USA,PG,103,2.35,150000000,131564731,M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,118951,1382,280,4.2
The Last Exorcism,2010,Drama|Horror|Thriller,English,France,PG-13,87,1.85,1800000,40990055,Daniel Stamm,Caleb Landry Jones,Ashley Bell,Patrick Fabian,41509,300,311,5.6
The Last Godfather,2010,Comedy,English,South Korea,PG-13,100,1.78,13400000,163591,Hyung-rae Shim,Jason Mewes,Stephanie Danielson,Michael Rispoli,912,17,4,3.6
The Last Song,2010,Drama|Family|Music|Romance,English,USA,PG,107,2.35,20000000,62933793,Julie Anne Robinson,Kelly Preston,Bobby Coleman,Melissa Ordway,62421,185,123,5.8
The Losers,2010,Action|Crime|Drama|Mystery|Thriller,English,USA,PG-13,97,2.35,25000000,23527955,Sylvain White,Chris Evans,Jason Patric,Óscar Jaenada,74691,165,213,6.4
The Names of Love,2010,Comedy|Drama|Romance,French,France,R,100,1.85,4600000,513836,Michel Leclerc,Sara Forestier,Jacques Gamblin,Zinedine Soualem,6304,21,87,7.2
The Next Three Days,2010,Crime|Drama|Romance|Thriller,English,USA,PG-13,133,2.35,35000000,21129348,Paul Haggis,Olivia Wilde,Daniel Stern,Aisha Hinds,146364,237,239,7.4
The Nutcracker in 3D,2010,Action|Family|Fantasy|Musical,English,UK,PG,110,2.35,90000000,190562,Andrey Konchalovskiy,Shirley Henderson,Nathan Lane,Richard E. Grant,2508,24,47,4.4
The Other Guys,2010,Action|Comedy|Crime,English,USA,PG-13,116,2.35,100000000,119219978,Adam McKay,Dwayne Johnson,Will Ferrell,Derek Jeter,189806,316,265,6.7
The Perfect Host,2010,Comedy|Crime|Thriller,English,USA,R,93,1.85,500000,48430,Nick Tomnay,David Hyde Pierce,Clayne Crawford,Nathaniel Parker,20176,73,112,6.8
The Reef,2010,Horror|Thriller,English,Australia,R,94,2.35,,,Andrew Traucki,Damian Walshe-Howling,Gyton Grantley,Adrienne Pickering,11950,89,102,5.8
The Runaways,2010,Biography|Drama|Music,English,USA,R,106,2.35,10000000,3571735,Floria Sigismondi,Kristen Stewart,Scout Taylor-Compton,Johnny Lewis,39260,129,259,6.6
The Social Network,2010,Biography|Drama,English,USA,PG-13,120,2.35,40000000,96917897,David Fincher,Andrew Garfield,Dustin Fitzsimons,Marcella Lentz-Pope,479453,696,556,7.7
The Sorcerer's Apprentice,2010,Action|Adventure|Family|Fantasy,English,USA,PG,109,2.35,150000000,63143812,Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,124185,238,235,6.1
The Spy Next Door,2010,Action|Comedy|Family,English,USA,PG,94,1.85,28000000,24268828,Brian Levant,Madeline Carroll,Amber Valletta,George Lopez,29971,71,97,5.4
The Switch,2010,Comedy|Drama|Romance,English,USA,PG-13,101,2.35,19000000,27758465,Josh Gordon,Caroline Dhavernas,Scott Elrod,Kelli Barrett,77987,120,181,6.1
The Tempest,2010,Comedy|Drama|Fantasy|Romance,English,USA,PG-13,110,2.35,20000000,263365,Julie Taymor,Djimon Hounsou,Reeve Carney,Tom Conti,6147,36,92,5.4
The Tourist,2010,Action|Romance|Thriller,English,USA,PG-13,103,2.35,100000000,67631157,Florian Henckel von Donnersmarck,Johnny Depp,Angelina Jolie Pitt,Rufus Sewell,176598,374,321,6
The Tourist,2010,Action|Romance|Thriller,English,USA,PG-13,103,2.35,100000000,67631157,Florian Henckel von Donnersmarck,Johnny Depp,Angelina Jolie Pitt,Rufus Sewell,176606,374,321,6
The Town,2010,Crime|Drama|Thriller,English,USA,R,150,2.35,37000000,92173235,Ben Affleck,Jeremy Renner,Jon Hamm,Owen Burke,280228,420,378,7.6
The Twilight Saga: Eclipse,2010,Adventure|Drama|Fantasy|Romance,English,USA,PG-13,124,2.35,68000000,300523113,David Slade,Robert Pattinson,Kristen Stewart,Anna Kendrick,184637,498,293,4.9
The Virginity Hit,2010,Comedy,English,USA,R,86,1.85,3400000,535249,Huck Botko,Matt Bennett,Krysta Rodriguez,Zack Pearlman,3467,13,46,4.6
The Warrior's Way,2010,Action|Fantasy|Western,English,New Zealand,R,100,2.35,45000000,5664251,Sngmoo Lee,Tony Cox,Dong-gun Jang,Jed Brophy,22309,102,95,6.3
The Wolfman,2010,Drama|Fantasy|Horror|Thriller,English,USA,R,119,1.85,150000000,61937495,Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,89442,432,357,5.8
Tiny Furniture,2010,Comedy|Drama|Romance,English,USA,Not Rated,98,2.35,65000,389804,Lena Dunham,Lena Dunham,Merritt Wever,Jemima Kirke,11816,35,113,6.3
Toy Story 3,2010,Adventure|Animation|Comedy|Family|Fantasy,English,USA,G,103,1.85,200000000,414984497,Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,544884,733,453,8.3
Tracker,2010,Action|Adventure|Drama|Western,English,New Zealand,R,102,2.35,6500000,,Ian Sharp,Ray Winstone,Jed Brophy,Temuera Morrison,2892,18,12,6.5
Trollhunter,2010,Comedy|Drama|Fantasy|Horror,Norwegian,Norway,PG-13,103,1.85,19900000,252652,André Øvredal,Otto Jespersen,Johanna Mørck,Glenn Erland Tosterud,54104,199,337,7
TRON: Legacy,2010,Action|Adventure|Sci-Fi,English,USA,PG,125,2.35,170000000,172051787,Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,264183,665,469,6.8
TRON: Legacy,2010,Action|Adventure|Sci-Fi,English,USA,PG,125,2.35,170000000,172051787,Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,264186,665,469,6.8
True Grit,2010,Adventure|Drama|Western,English,USA,PG-13,110,2.35,38000000,171031347,Ethan Coen,Matt Damon,Jeff Bridges,Bruce Green,240962,724,493,7.7
Trust,2010,Crime|Drama|Thriller,English,USA,R,106,2.35,9500000,58214,David Schwimmer,Noah Emmerich,Jordan Trovillion,Zoe Levin,34224,137,109,7
Tucker and Dale vs Evil,2010,Comedy|Horror,English,Canada,R,89,2.35,,223615,Eli Craig,Katrina Bowden,Tyler Labine,Chelan Simmons,127842,200,324,7.6
"Ultramarines: A Warhammer 40,000 Movie",2010,Action|Animation|Fantasy|Horror|Mystery|Sci-Fi|Thriller,English,UK,R,76,1.85,,,Martyn Pick,Sean Pertwee,Steven Waddington,Donald Sumpter,4990,64,19,5.7
Unstoppable,2010,Action|Thriller,English,USA,PG-13,98,2.35,100000000,81557479,Tony Scott,Denzel Washington,Rosario Dawson,Ethan Suplee,149947,326,316,6.8
Valentine's Day,2010,Comedy|Romance,English,USA,PG-13,125,1.85,52000000,110476776,Garry Marshall,Bradley Cooper,Taylor Lautner,Anne Hathaway,95437,211,186,5.7
Vampires Suck,2010,Comedy,English,USA,PG-13,82,1.85,20000000,36658108,Jason Friedberg,Diedrich Bader,Dave Foley,Anneliese van der Pol,39095,187,122,3.5
Wall Street: Money Never Sleeps,2010,Drama,English,USA,PG-13,136,2.35,70000000,52474616,Oliver Stone,Frank Langella,Austin Pendleton,John Buffalo Mailer,84118,245,297,6.3
Welcome to the Rileys,2010,Drama,English,UK,R,110,1.85,,152857,Jake Scott,Kristen Stewart,Ally Sheedy,Kerry Cahill,19979,56,112,7
Why Did I Get Married Too?,2010,Comedy|Drama|Romance,English,USA,PG-13,121,1.85,20000000,60072596,Tyler Perry,Michael Jai White,Cicely Tyson,Tasha Smith,7664,68,40,4.4
Wild Target,2010,Action|Comedy|Crime,English,UK,PG-13,98,2.35,8000000,117190,Jonathan Lynn,Rupert Grint,Rupert Everett,Geoff Bell,29994,86,68,6.9
Winter's Bone,2010,Drama,English,USA,R,100,1.85,2000000,6531491,Debra Granik,Jennifer Lawrence,Shelley Waggener,Lauren Sweetser,111658,297,365,7.2
Womb,2010,Drama|Romance|Sci-Fi,English,Germany,Unrated,111,2.35,3660000,,Benedek Fliegauf,Eva Green,Matt Smith,Hannah Murray,9957,35,88,6.4
Yogi Bear,2010,Adventure|Animation|Comedy|Family,English,USA,PG,80,1.85,80000000,100169068,Eric Brevig,Justin Timberlake,Tom Cavanagh,Josh Robert Thompson,16385,100,143,4.6
You Again,2010,Comedy|Family|Romance,English,USA,PG,105,2.35,20000000,25677801,Andy Fickman,Jamie Lee Curtis,James Wolk,Christine Lakin,41273,136,91,5.8
You Will Meet a Tall Dark Stranger,2010,Comedy|Drama|Romance,English,USA,R,98,1.85,22000000,3247816,Woody Allen,Anthony Hopkins,Naomi Watts,Ewen Bremner,36145,108,223,6.3
1911,2011,Action|Adventure|Drama|History|War,Mandarin,China,R,121,2.35,18000000,127437,Li Zhang,Bingbing Li,Joan Chen,Jaycee Chan,4670,27,63,6
30 Minutes or Less,2011,Action|Comedy|Crime,English,Germany,R,83,2.35,28000000,37053924,Ruben Fleischer,Bianca Kajlich,Dilshad Vadsaria,Fred Ward,77935,122,220,6.1
5 Days of War,2011,Action|Drama|War,English,Georgia,R,113,2.35,20000000,17149,Renny Harlin,Richard Coyle,Kenneth Cranham,Ana Imnadze,12128,61,74,5.6
50/50,2011,Comedy|Drama|Romance,English,USA,R,100,1.85,8000000,34963967,Jonathan Levine,Joseph Gordon-Levitt,Anna Kendrick,Bryce Dallas Howard,270441,378,327,7.7
A Better Life,2011,Drama|Romance,English,USA,PG-13,98,1.85,10000000,1754319,Chris Weitz,Demián Bichir,Eddie 'Piolin' Sotelo,Robert Peters,13174,81,94,7.2
A Dangerous Method,2011,Biography|Drama|Thriller,English,UK,R,99,1.85,15000000,5702083,David Cronenberg,Michael Fassbender,Viggo Mortensen,Sarah Gadon,80617,190,345,6.5
A Lonely Place to Die,2011,Action|Adventure|Crime|Thriller,English,UK,R,99,2.35,4000000,,Julian Gilbey,Ed Speleers,Eamonn Walker,Sean Harris,22220,97,135,6.3
A Monster in Paris,2011,Adventure|Animation|Comedy|Fantasy|Music|Romance,French,France,PG,90,1.85,25000000,,Bibo Bergeron,Adam Goldberg,Bob Balaban,François Cluzet,15790,40,63,6.8
A Separation,2011,Drama|Mystery,Persian,Iran,PG-13,123,1.85,500000,7098492,Asghar Farhadi,Shahab Hosseini,Leila Hatami,Peyman Moaadi,151812,264,354,8.4
A Very Harold & Kumar 3D Christmas,2011,Adventure|Comedy,English,USA,R,90,2.35,19000000,35033759,Todd Strauss-Schulson,Patton Oswalt,Thomas Lennon,Paula Garcés,55008,93,161,6.3
Abduction,2011,Action|Mystery|Thriller,English,USA,PG-13,106,2.35,35000000,28064226,John Singleton,Ken Arnold,Benjamin J. Cain Jr.,Richard Cetrone,65044,173,180,5
Absentia,2011,Drama|Horror|Mystery,English,USA,R,87,1.78,70000,,Mike Flanagan,Justin Gordon,Courtney Bell,Erin Cipolletti,13065,136,125,5.8
Albert Nobbs,2011,Drama,English,UK,R,113,2.35,8000000,3014541,Rodrigo García,Mia Wasikowska,Michael McElhatton,Mark Williams,19616,98,222,6.7
All Superheroes Must Die,2011,Sci-Fi|Thriller,English,USA,Unrated,78,2.35,20000,,Jason Trost,Sean Whalen,Jason Trost,Nick Principe,1771,35,42,4
Alvin and the Chipmunks: Chipwrecked,2011,Adventure|Animation|Comedy|Family|Fantasy|Music,English,USA,G,87,1.85,75000000,133103929,Mike Mitchell,Amy Poehler,Jesse McCartney,Lauren Gottlieb,22838,56,91,4.4
Anonymous,2011,Drama|History|Thriller,English,UK,PG-13,130,2.35,30000000,4463292,Roland Emmerich,Vanessa Redgrave,Joely Richardson,Rafe Spall,34488,136,288,6.9
Another Earth,2011,Drama|Romance|Sci-Fi,English,USA,PG-13,92,1.85,100000,1316074,Mike Cahill,Robin Lord Taylor,William Mapother,Flint Beverage,71387,228,242,7
Another Happy Day,2011,Comedy|Drama,English,USA,R,119,2.35,4000000,,Sam Levinson,George Kennedy,Ezra Miller,Demi Moore,3297,42,46,6
Apollo 18,2011,Horror|Mystery|Sci-Fi|Thriller,English,USA,PG-13,86,1.33,5000000,17683670,Gonzalo López-Gallego,Warren Christie,Ryan Robbins,Andrew Airlie,47227,323,228,5.2
Arthur Christmas,2011,Adventure|Animation|Comedy|Family|Fantasy,English,UK,PG,97,1.85,100000000,46440491,Sarah Smith,Jim Broadbent,Imelda Staunton,Michael Palin,35446,78,190,7.1
Attack the Block,2011,Action|Comedy|Sci-Fi|Thriller,English,UK,R,88,2.35,13000000,1024175,Joe Cornish,John Boyega,Luke Treadaway,Jodie Whittaker,82331,297,399,6.6
August,2011,Drama|Romance,English,USA,Not Rated,99,2.35,,,Eldar Rapaport,Murray Bartlett,Adrian Gonzalez,Edward Conna,1262,13,10,6.1
Bad Teacher,2011,Comedy,English,USA,R,97,1.85,20000000,100292856,Jake Kasdan,Justin Timberlake,John Michael Higgins,Phyllis Smith,160418,296,286,5.7
Battle Los Angeles,2011,Action|Sci-Fi,English,USA,PG-13,116,2.35,70000000,83552429,Jonathan Liebesman,Noel Fisher,Jim Parrack,Ramon Rodriguez,154955,800,355,5.8
Beastly,2011,Drama|Fantasy|Romance,English,USA,PG-13,86,2.35,17000000,27854896,Daniel Barnz,Alex Pettyfer,Mary-Kate Olsen,Erik Knudsen,64190,129,148,5.6
Below Zero,2011,Thriller,English,Canada,R,99,,1200000,,Justin Thomas Ostensen,Michael Berryman,Kristin Booth,Michael Eisner,652,11,18,4.5
Bernie,2011,Comedy|Crime|Drama,English,USA,PG-13,99,1.85,5000000,9203192,Richard Linklater,Matthew McConaughey,Brandon Smith,Rick Dial,45396,136,231,6.8
"Big Mommas: Like Father, Like Son",2011,Action|Comedy|Crime,English,USA,PG-13,113,2.35,32000000,37911876,John Whitesell,Brandon T. Jackson,Tony Curran,Portia Doubleday,19671,47,88,4.4
Blackthorn,2011,Action|Adventure|Western,English,Spain,R,102,2.35,,199652,Mateo Gil,Sam Shepard,Dominique McElligott,Stephen Rea,7390,40,92,6.6
Bridesmaids,2011,Comedy|Romance,English,USA,R,131,2.35,32500000,169076745,Paul Feig,Matt Lucas,Wendi McLendon-Covey,Steve Bannos,218711,485,371,6.8
Bucky Larson: Born to Be a Star,2011,Comedy,English,USA,R,97,1.85,10000000,2331318,Tom Brady,Don Johnson,Kevin Nealon,Nicholas Turturro,9541,64,49,3.3
Captain America: The First Avenger,2011,Action|Adventure|Sci-Fi,English,USA,PG-13,124,2.35,140000000,176636816,Joe Johnston,Chris Evans,Dominic Cooper,Hayley Atwell,508818,679,510,6.9
Carnage,2011,Comedy|Drama,English,France,R,80,2.35,25000000,,Roman Polanski,Kate Winslet,Christoph Waltz,Julie Adams,96480,181,376,7.2
Cars 2,2011,Adventure|Animation|Comedy|Family|Sport,English,USA,G,106,2.35,200000000,191450875,John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,101178,283,304,6.3
Cedar Rapids,2011,Comedy,English,USA,R,87,1.85,,6857503,Miguel Arteta,Kurtwood Smith,Stephen Root,Alia Shawkat,32697,85,212,6.3
Circumstance,2011,Drama,Persian,France,R,107,2.35,,439958,Maryam Keshavarz,Sarah Kazemy,Reza Sixo Safai,Sina Amedson,6277,43,76,5.9
Colombiana,2011,Action|Crime|Drama|Thriller,English,France,PG-13,112,2.35,40000000,36665854,Olivier Megaton,Jordi Mollà,Callum Blue,Jesse Borrego,76498,203,201,6.4
Contagion,2011,Drama|Thriller,English,USA,PG-13,106,1.85,60000000,75638743,Steven Soderbergh,Matt Damon,Monique Gabriela Curnen,Griffin Kane,180479,411,436,6.6
Coriolanus,2011,Drama|Thriller|War,English,UK,R,123,2.35,,756452,Ralph Fiennes,Gerard Butler,Ashraf Barhom,Lubna Azabal,27009,118,196,6.2
Courageous,2011,Drama,English,USA,PG-13,129,2.35,2000000,34522221,Alex Kendrick,Ben Davies,Alex Kendrick,T.C. Stallings,15401,175,34,7
"Crazy, Stupid, Love.",2011,Comedy|Drama|Romance,English,USA,PG-13,118,2.39,50000000,84244877,Glenn Ficarra,Ryan Gosling,Emma Stone,Steve Carell,375456,292,310,7.4
Damsels in Distress,2011,Comedy|Drama|Romance,English,USA,PG-13,99,1.85,,1007535,Whit Stillman,Greta Gerwig,Megalyn Echikunwoke,Zach Woods,7625,54,152,5.7
Detention,2011,Comedy|Horror|Sci-Fi,English,USA,R,93,2.35,10000000,,Joseph Kahn,Josh Hutcherson,Shanley Caswell,Parker Bagley,12520,76,115,5.8
Diary of a Wimpy Kid: Rodrick Rules,2011,Comedy|Family,English,USA,PG,99,2.35,21000000,52691009,David Bowers,Zachary Gordon,Rachael Harris,Fran Kranz,18727,45,103,6.6
Dolphin Tale,2011,Drama|Family,English,USA,PG,113,1.85,37000000,72279690,Charles Martin Smith,Morgan Freeman,Michael Roark,Harry Connick Jr.,17948,86,131,6.9
Dream House,2011,Drama|Mystery|Thriller,English,USA,PG-13,84,2.35,55000000,21283440,Jim Sheridan,Naomi Watts,Gregory Smith,Sarah Gadon,46239,137,174,6
Drive Angry,2011,Action|Fantasy|Thriller,English,USA,R,104,1.85,50000000,10706786,Patrick Lussier,Nicolas Cage,Billy Burke,Katy Mixon,81800,211,296,5.5
Drive,2011,Crime|Drama,English,USA,R,100,2.35,15000000,35054909,Nicolas Winding Refn,Ryan Gosling,Albert Brooks,Russ Tamblyn,431578,1264,676,7.8
Dum Maaro Dum,2011,Action|Crime|Drama|Thriller,Hindi,India,R,128,,,563699,Rohan Sippy,Abhishek Bachchan,Bipasha Basu,Prateik,3266,27,24,6.2
Elza,2011,Drama,French,France,,78,16,900000,,Mariette Monpierre,Stana Roumillac,Christophe Cherki,Teddy Doloir,19,2,2,6.7
Enter Nowhere,2011,Mystery|Thriller,English,USA,R,90,,500000,,Jack Heller,Shaun Sipos,Katherine Waterston,Christopher Denham,5025,45,26,6.6
Extremely Loud & Incredibly Close,2011,Adventure|Drama|Mystery,English,USA,PG-13,129,2.35,40000000,31836745,Stephen Daldry,Tom Hanks,Thomas Horn,Stephen Henderson,81298,341,283,6.9
Fast Five,2011,Action|Crime|Thriller,English,USA,PG-13,132,2.35,125000000,209805005,Justin Lin,Paul Walker,Vin Diesel,Dwayne Johnson,284792,366,342,7.3
Final Destination 5,2011,Horror,English,USA,R,92,2.35,40000000,42575718,Steven Quale,Emma Bell,Jacqueline MacInnes Wood,Courtney B. Vance,83788,227,277,5.9
Fort McCoy,2011,Drama|History|War,English,USA,R,100,,3000000,73678,Kate Connor,Johnny Pacar,Eric Stoltz,Brendan Fehr,266,8,8,5.9
Friends with Benefits,2011,Comedy|Romance,English,USA,R,109,2.35,35000000,55802754,Will Gluck,Mila Kunis,Justin Timberlake,Masi Oka,270228,194,238,6.6
Fright Night,2011,Comedy|Horror,English,USA,R,106,1.85,30000000,18298649,Craig Gillespie,Grace Phipps,Reid Ewing,Sandra Vergara,85024,242,358,6.4
Ghost Rider: Spirit of Vengeance,2011,Action|Fantasy|Thriller,English,USA,PG-13,96,2.35,57000000,51774002,Mark Neveldine,Nicolas Cage,Spencer Wilding,Christopher Lambert,87745,331,287,4.3
Glee: The 3D Concert Movie,2011,Documentary|Music,English,USA,PG,84,1.85,9000000,11860839,Kevin Tancharoen,Lea Michele,Heather Morris,Kevin McHale,5156,21,67,5.4
Go for It!,2011,Drama|Musical,English,USA,PG-13,105,1.85,2450000,178739,Carmen Marron,Jossara Jinaro,Aimee Garcia,Rene Rosado,1015,10,8,3.9
